 Category, Value, Question, Answer
HISTORY,$200 ,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory",Copernicus
HISTORY,$400 ,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the Appian Way
HISTORY,$200 ,Historians refer to the Golden Age as the time during which Pericles ruled this city,Athens
HISTORY,$400 ,"Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland & other islands",Denmark
SPORTS,$100 ,This Florida-born women's great who retired in 1989 wrote the World Book Encyclopedia article on tennis,Chris Evert
SPORTS,$200 ,In 1984 this quarterback became the first Boston College player to win the Heisman Trophy,Doug Flutie
SPORTS,$300 ,Babe Ruth's father once operated a saloon on what is now center field in this Baltimore ballpark,Oriole Park at Camden Yards
SPORTS,$400 ,"In the 1997 Belmont Stakes, Touch Gold dashed this ""charmed"" horse's Triple Crown bid",Silver Charm
SPORTS,$200 ,Ben Crenshaw & Phil Mickelson are the only 3-time winners of this college sport's championship tournament,golf
HISTORY,$200 ,"In 1991 B.C. Amenemhet, a former vizier, founded this country's 12th dynasty",Egypt
HISTORY,$400 ,"Because his proposals for constitutional change were defeated, this French president resigned in 1969",Charles de Gaulle
HISTORY,$100 ,"In 1429, she was given control of troops in France",Joan of Arc
HISTORY,$200 ,"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",Pluto
HISTORY,$300 ,In February 1984 he announced his resignation as Prime Minister of Canada,Trudeau
HISTORY,$400 ,Every president since Taft has been an honorary president of this organization founded in the U.S. in Feb. 1910,the Boy Scouts
HISTORY,$500 ,"In a 1778 treaty, the U.S. and France granted each other this commerce ""status""",most favored nation
HISTORY,$200 ,"Peregrine White, the 1st child born in New England of English parents, was born on this ship",the Mayflower
SPORTS,$200 ,"The new 23,500-seat U.S. Tennis Open Stadium is named for this star who died February 6, 1993",Arthur Ashe
SPORTS,$400 ,"Except for 1995, the NHL scoring title has gone to either Wayne Gretzky or this Penguins star the past 16 years",Mario Lemieux
SPORTS,$200 ,The ball used in this sport is about 11 inches long & about 7 inches wide at the center,Football
SPORTS,$400 ,"On Sept. 23, 1926 this heavyweight boxing champ lost his title to Gene Tunney in a decision",Jack Dempsey
SPORTS,$100 ,"In 1967 this New York Jets quarterback became the first pro to pass for more than 4,000 yards in a season",Joe Namath
SPORTS,$200 ,"Founded in 1897, it's the world's oldest annual marathon",the Boston Marathon
SPORTS,$300 ,"In 1991, after 12 seasons at the Salt Palace, this NBA team moved its home games to the Delta Center",the Utah Jazz
SPORTS,$400 ,In 1992 Viktor Petrenko won the world championship in this sport,ice skating (men's figure skating)
SPORTS,$500 ,"During his 1955-1966 career, this Dodger pitcher averaged 9.28 strikeouts per 9 innings",(Sandy) Koufax
SPORTS,$200 ,"Tennis serve that touches net before dropping into proper court, it's replayed",a let ball
SPORTS,$300 ,You win this when you pick the winners of 2 successive horse races,the Daily Double
SPORTS,$400 ,"What the letters in ""scuba"" stand for",self-contained underwater breathing apparatus
SPORTS,$500 ,"On an official archery target, it's the color of the bull's eye",yellow (or gold)
ANIMALS,$200 ,This Arctic bear's feet are webbed & have hairy soles,Polar bear
ANIMALS,$400 ,"Large feral populations of the ""mute"" species of this long-necked bird inhabit the Mid-Atlantic coast",Swans
HISTORY,$100 ,"In 1898 Britain leased the New Territories from China, adding to the area of this dependency",Hong Kong
HISTORY,$200 ,"In 1273 Rudolf I became the first from this family to rule the Holy Roman Empire, though he was never crowned",the Hapsburgs
HISTORY,$300 ,In January 1943 FDR & Winston Churchill met in this North African city to discuss the war effort,Casablanca
HISTORY,$400 ,In 1701 this pirate was hanged in London for murder & 5 counts of piracy,Captain Kidd
HISTORY,$500 ,"The first European to round Africa's southern tip, he was also on the voyage that discovered Brazil",Bartolomeo Diaz
ANIMALS,$100 ,A bat's hands serve as these,Wings
ANIMALS,$200 ,On a true sole both of these are on the right side of the head,Eyes
ANIMALS,$300 ,Lizard that's noted for its ability to walk on ceilings,Gecko
ANIMALS,$400 ,The South African rhebok is not an athletic shoe but a species of this,Antelope
ANIMALS,$500 ,"With ancestors as big as elephants, these slow beasts now just hang upside down in trees",Sloths
HISTORY,$100 ,"After years of construction, this canal finally opened for business August 15, 1914",Panama Canal
HISTORY,$200 ,"In 1794 this hero of Trafalgar lost the sight in his right eye due to a wound suffered while taking Calvi, Corsica",Lord Nelson
HISTORY,$300 ,Around 1605 Dutchman Willem Jansz became the first European to sight this continent,Australia
HISTORY,$400 ,"In February 1825 this ""liberator"" was elected president of Peru",Simon Bolivar
HISTORY,$500 ,"Founded in 1933, this Spanish political party was named for a Greek military formation",Falange
MUSIC,$400 ,Pernambuco or brazilwood is frequently used to make this accessory for string players,bows
SPORTS,$100 ,What Gary Player plays professionailly,golf
SPORTS,$500 ,"Boxer whose life was portrayed in ""Somebody Up There Likes Me""",Rocky Graziano
SPORTS,$100 ,He hit 110 home runs in 1996 & 1997 -- more than any player in 2 straight seasons except Babe Ruth,Mark McGwire
SPORTS,$200 ,Buster Douglas' 1990 knockout of this champ has been called the greatest heavyweight title upset,Mike Tyson
SPORTS,$300 ,"From 1977 to 1981, this NHL city's Blues played their home games in the Checkerdome",St. Louis
SPORTS,$500 ,Both John Elway & Jim Plunkett were NFL No. 1 draft choices from this university,Stanford
HISTORY,$200 ,She plotted against the French Revolution & gave military secrets to her brother Leopold II of Austria,Marie Antoinette
HISTORY,$400 ,"On November 15, 1920 the League of Nations held its first meeting in this city",Geneva
MUSIC,$200 ,"This ""Puff The Magic Dragon"" trio split up in 1970 & re-formed in 1978","Peter, Paul & Mary"
ANIMALS,$200 ,"With hind legs reaching up to 10 inches, it's the largest frog in the U.S.",Bullfrog
MUSIC,$400 ,In 1893 Francisco Fanciulli succeeded this man as leader of the U.S. Marine Band,John Philip Sousa
ANIMALS,$400 ,This cobra killer was introduced into the Western Hemisphere to kill rats but has done more harm to birds,Mongoose
HISTORY,$100 ,"When this man died in 1969, Ton Duc Thang, his vice-president, became president of North Vietnam",Ho Chi Minh
HISTORY,$200 ,"Estimates of when these people abandoned the city of Uxmal range from 600 to 1,000 years ago",Mayans
HISTORY,$300 ,Peter the Cruel & Joan the Mad ruled this Spanish kingdom sometimes paired with Leon & Aragon,Castille
HISTORY,$400 ,In 1935 the Saar territory was reunited with this country,Germany
HISTORY,$500 ,Juan Vincente Gomez was dictator of this South American country in 1918 when it first exploited its oil,Venezuela
MUSIC,$200 ,Accelerando means the music is getting faster; crescendo means it's getting this,louder
MUSIC,$400 ,One of Paganini's major works is the Concerto No. 1 in D Major for this instrument,the violin
ANIMALS,$100 ,"In the marsupial mole, hearing & this sense are poorly developed",Sight
ANIMALS,$200 ,"In the mistaken belief that it washes its food, it was given the scientific name lotor, meaning ""washer""",Raccoon
ANIMALS,$300 ,The Indian species of this cobra killer can be tamed when young,Mongoose
ANIMALS,$400 ,"In this type of crab, the male has a large claw & waves it like a violinist's bow",Fiddler crab
ANIMALS,$500 ,"Extinct for hundreds of years, the elephant bird weighed 1,000 pounds & lived on this east African island",Madagascar
SPORTS,$100 ,In 1996 Kent Steffes & Karch Kiraly won the first gold medal ever presented in this type of volleyball,Beach Volleyball
SPORTS,$200 ,This team's John Wetteland was named MVP of the 1996 World Series for saving all 4 wins,New York Yankees
SPORTS,$300 ,Only Wayne Gretzky & this Penguins star have scored over 190 points in an NHL season,Mario Lemieux
SPORTS,$400 ,In 1996 Johnny Miller was voted into this sport's Hall of Fame,golf
SPORTS,$500 ,This Dolphins coach has a yacht named Three Rings for his 2 Super Bowl titles & 1 college championship,Jimmie Johnson
ANIMALS,$400 ,"Type of squirrel that has a thin, extending membrane called a patagium",a flying squirrel
SPORTS,$200 ,"On August 5, 1991 Sergei Bubka became the first to exceed 20 feet in this track & field event",the pole vault
SPORTS,$400 ,"In a 2007 college football shocker, this team ended USC's 35-game home winning streak",Stanford
HISTORY,$100 ,"This volunteer cavalry unit organized by Teddy Roosevelt included miners, cowboys & college athletes",the Rough Riders
HISTORY,$200 ,Around 122 A.D. this emperor ordered a wall built to separate the Romans from the Barbarians,Hadrian
HISTORY,$300 ,The Yi dynasty ruled this country from 1392 until its annexation by Japan in 1910,Korea
HISTORY,$400 ,The Peace of Westphalia in 1648 ended this numerical war,Thirty Years' War
SPORTS,$100 ,"While the heights may change, these are the 2 types of diving boards",the springboard & the platform
SPORTS,$200 ,"Prior to par, this term was used for the score golfers should make, and was preceded by “Colonel”",Bogie
SPORTS,$300 ,Four letter word for all the gear used for controlling a horse in harness racing,tack
SPORTS,$400 ,"Though she came in 50th in this marathon, November 4, 1990, Wanda Panfil of Poland still got $26,385 & a car",the New York City Marathon
SPORTS,$500 ,If you form a polo team to take on Prince Charle,4
MUSIC,$200 ,"A composer's works are often numbered & appear with the abbreviation Op., which stands for this",Opus
MUSIC,$400 ,Earlier composers used these large drums in pairs; modern composers may use 3 or more,Timpani
MUSIC,$300 ,One of the 4 notes to which violin strings are tuned,"(1 of 4) A, D, E, or G"
MUSIC,$500 ,"In Italian this term for vocal music without instrumental accompaniment means ""as in the chapel""",a cappella
MUSIC,$100 ,"The ""Black or White"" video from his ""Dangerous"" album was directed by John Landis",Michael Jackson
MUSIC,$200 ,"This Big Band clarinetist's 1939 autobiography was titled ""The Kingdom of Swing""",Benny Goodman
MUSIC,$300 ,"Telma Hopkins & Joyce Wilson provided backup vocals for him on ""Tie a Yellow Ribbon Round the Ole Oak Tree""",Tony Orlando
MUSIC,$400 ,"His No. 1 country song ""A Boy Named Sue"" was recorded live at San Quentin Prison",Johnny Cash
MUSIC,$500 ,"This guitarist's ""Blues Summit"" was named Best Traditional Blues Album at 1994's Grammys",B.B. King
HISTORY,$100 ,In June 1987 she became the first British prime minister in the 20th c. elected to 3 straight terms,Margaret Thatcher
SPORTS,$100 ,"This Czech-born tennis star was the world's No. 1 ranked women's player 7 times, 1978-79 & 1982-86",Martina Navratilova
HISTORY,$200 ,"On September 23, 1949 President Truman announced that this country had detonated a nuclear device",Soviet Union/U.S.S.R./Russia
SPORTS,$200 ,In 1996 this Barry Switzer-coached team won a record fifth straight NFC East division title,Dallas Cowboys
HISTORY,$300 ,In 338 B.C. this country's Philip II defeated Thebes & Athens at the Battle of Chaeronea,Macedonia
SPORTS,$300 ,1 of 2 L.A. Lakers players to win the NBA's regular season MVP award,Kareem Abdul-Jabbar & Magic Johnson
HISTORY,$400 ,In 781 he persuaded Pope Adrian I to crown his sons Pepin & Louis kings of Italy & Aquitaine,Charlemagne
SPORTS,$400 ,"On July 17, 1994 this nation won a record fourth World Cup soccer title by beating Italy, 3-2 on penalty kicks",Brazil
HISTORY,$500 ,"""The Thousand"" was a novel written by this Italian guerrilla leader based on his 1860 Sicilian expedition",Giuseppe Garibaldi
SPORTS,$500 ,"This Florida quarterback won the Heisman Trophy in 1996, 30 years after his coach Steve Spurrier won it",Danny Wuerffel
SPORTS,$100 ,"At the 1992 Olympics, the U.S. Men's Basketball team was known by this rhyming name",the Dream Team
SPORTS,$200 ,Since the 1950s players from this continent have been the dominant force in table tennis,Asia
SPORTS,$300 ,This piece of fencing equipment is made of strong wire mesh & may be padded,a mask
SPORTS,$400 ,In swimming the butterfly stroke originated as a modification of this similar stroke,breaststroke
SPORTS,$500 ,"The origins of tennis go back to jeu de paume, a game in which the ball was struck with this body part",the palm of the hand
MUSIC,$100 ,"2-word ""bread-spread"" term for an impromptu performance by jazz musicians",jam session
MUSIC,$200 ,"One common type of this Russian lute usually has its three strings tuned to E, E & A above middle C",Balalaika
MUSIC,$300 ,Josef Lanner was one of the first composers to write music for this dance that evolved from the landler,Waltz
MUSIC,$400 ,"This 9-letter word can refer to any singer in a church, but in England it often means a choirboy",Chorister
MUSIC,$500 ,"Italian for ""going""; it's a musical direction to play in a moderate walking tempo",Andante
SPORTS,$200 ,"In 1988 after 8 seasons as the NHL's MVP, this center was traded by Edmonton to the L.A. Kings",Wayne Gretzky
SPORTS,$400 ,In 1991 Digger Phelps retired as coach of this school's basketball team with 393 career victories,Notre Dame
ANIMALS,$100 ,The silky & Yorkshire are toy breeds of this dog,Terrier
ANIMALS,$200 ,"Perhaps referring to its erratic behavior, the gnu is also called this",Wildebeest
ANIMALS,$300 ,The 2 popular breeds of dairy cattle named for Britain's 2 largest Channel Islands,Jersey & Guernsey
ANIMALS,$400 ,"Up to 50 feet in length, the whale species of this fish is the largest in the sea",Shark
ANIMALS,$500 ,"In summer, when its coat is brown, the ermine is referred to by this name",Stoat/Weasel
SPORTS,$100 ,At the 1924 Olympics he broke the 1-minute barrier in the 100-meter freestyle & he wasn't swinging on vines,Johnny Weissmuller
SPORTS,$200 ,In 1999 Nestor Chylak was the first of these inducted into the Baseball Hall of Fame since Bill McGowan in 1982,Umpire
SPORTS,$300 ,In 1994 this Dallas Cowboy scored 22 touchdowns; in 1995 he topped that with 25,Emmitt Smith
SPORTS,$400 ,In 1993 Werner Gunther of Switzerland threw one of these 72 feet 1 inch,Shot Put
SPORTS,$500 ,He was riding Affirmed in 1978 when he became the youngest jockey to win the Triple Crown,Steve Cauthen
HISTORY,$100 ,"The third of these military expeditions was led by Frederick I Barbarossa, Philip II & Richard the Lion-Hearted",the Crusades
HISTORY,$200 ,In 1513 he reached & named Florida,Ponce de León
HISTORY,$300 ,"In 1718 the British tracked down & killed this ""dark"" pirate in a North Carolina inlet",Blackbeard
HISTORY,$300 ,In 1946 the Ivory Coast was made an overseas territory of this country; in 1960 it gained its independence,France
HISTORY,$500 ,The treaty that ended the Russo-Japanese War in 1905 was named for this New Hampshire city,Portsmouth
ANIMALS,$200 ,"If a weasel pops by for lunch in the cold winter, you'll notice its coat is this color",White
ANIMALS,$400 ,Dabbling types of these include the pintail & teal,Ducks
ANIMALS,$100 ,The monkey-eating species of this bird lives in the Philippines; the bald species lives in the U.S.,the eagle
ANIMALS,$200 ,These birds range in size from the 1-foot blue to the 4-foot emperor,the penguin
ANIMALS,$300 ,"Group of mammals seen <a href=""http://www.j-archive.com/media/1998-06-01_J_28.jpg"" target=""_blank"">here</a>:  [like Timon in <i>The Lion King</i>]",meerkats
ANIMALS,$400 ,"It has webbed, padded toes & can drink over 20 gallons of water in a single drink",the camel
ANIMALS,$500 ,"This land animal can weigh more than 8,000 pounds & can open its immense jaws 150 degrees",the hippopotamus
ANIMALS,$100 ,"LIke other male bovines, adult male yaks are called these",Bulls
ANIMALS,$200 ,A hinny has an ass for a mother & one of these animals for a father,Horse
ANIMALS,$300 ,"To escape predators, many lizards break off this body part; it later regenerates",Tail
ANIMALS,$400 ,These stinging arachnids give birth to live young which cling to their mother's backs for several days,Scorpions
ANIMALS,$500 ,"This bear-like carnivore, a large member of the weasel family, is also known as the glutton",Wolverine
SPORTS,$100 ,"Game where ""dribbling"" is ""offensive""",basketball
SPORTS,$200 ,From early practice of pitcher facing west comes this baseball term for lefty,southpaw
SPORTS,$300 ,Football's imaginary plane which neither team may cross until the ball is snapped,the line of scrimmage
SPORTS,$400 ,"World's fastest sport, free-fall speeds of 614 MPH have been recorded in this",skydiving
SPORTS,$500 ,'50s middleweight champ some say was pound-for-pound the best boxer ever,Sugar Ray Robinson
SPORTS,$100 ,"According to USGA rules, 1 of 2 types of golf course hazards",Bunker & Water
SPORTS,$200 ,In 1987 Jim Abbott became the 1st in this sport to win the Sullivan Award for amateur athletes,baseball
SPORTS,$300 ,"In women's Olympic fencing, only this weapon is used",the foil
SPORTS,$400 ,1 of 2 National Hockey League teams to retire Gordie Howe's uniform number,Detroit Red Wings & Hartford Whalers
SPORTS,$500 ,The 3 cities that the National Football League Cardinals have represented,"Chicago, St. Louis & Phoenix"
MUSIC,$200 ,"In 1891 this Russian composer conducted his own ""Marche Solennelle"" opening week at Carnegie Hall",Tchaikovsky
MUSIC,$400 ,"Maria Theresa kissed him when he played for her court, but in France, Mme. de Pompadour refused to do so",W.A. Mozart
MUSIC,$100 ,"The ""lamento"" type of this operatic solo is a feature of early Italian operas",Aria
MUSIC,$200 ,This cellist is the son of a composer from Shanghai & a mezzo-soprano from Hong Kong,Yo-Yo Ma
MUSIC,$300 ,"An 1829 visit to Holyrood Palace in this city inspired Mendelssohn's ""Scottish Symphony""",Edinburgh
MUSIC,$400 ,This American pianist was in his 20s when he won the Tchaikovsky competition in Moscow in 1958,Van Cliburn
MUSIC,$500 ,"Composer who wrote the famous Hungarian Rhapsody No. 15, ""The Rakoczy March"", heard here",Franz Liszt
HISTORY,$200 ,"In the first Punic War, the troops of his father, Hamilcar Barca, were defeated by the Romans in Sicily",Hannibal
HISTORY,$500 ,"Abdicating the imperial throne on August 6, 1806, Francis II was its last ruler",the Holy Roman Empire
MUSIC,$200 ,"To perform Prokofiev's ""Romeo & Juliet"" an orchestra needs a pair of these gourd rattles",Maracas
MUSIC,$400 ,"Mozart dedicated 6 string quartets to this Austrian composer of ""The Creation""",Franz Josef Haydn
SPORTS,$100 ,Nickname for a football,a pigskin
SPORTS,$200 ,A filly becomes a mare at this age,4
SPORTS,$300 ,"According to rules, the strike zone in baseball extends from the batter's knees to here",his armpits
SPORTS,$400 ,This bowl game changes location every year,the Super Bowl
SPORTS,$500 ,The number of laps run in the Indy 500,200
SPORTS,$100 ,In 1957 this Cleveland team's Lou Groza became the first to lead the NFL in scoring without a touchdown,Browns
SPORTS,$200 ,"Fielding positions in this British game include wicketkeeper, square leg & gully",Cricket
SPORTS,$300 ,In 1995 the NHL's Quebec Nordiques moved to this city & became the Colorado Avalanche,Denver
SPORTS,$400 ,This Houston Rockets center won the NBA's Most Valuable Player award in 1994,Hakeem Olajuwon
SPORTS,$500 ,"With 30 tournament wins, Lisa Wagner is the women's career leader in this sport",Bowling
MOVIES,$100 ,"This ""Road Warrior"" became a ""Lethal Weapon"" in 1987",Mel Gibson
MOVIES,$200 ,"In ""20,000 Leagues Under the Sea"", James Mason played this slightly screwy sub skipper",Captain Nemo
MOVIES,$300 ,Richard Burton had a devil of a time directing himself in the film version of this Marlowe tragedy,"""Dr. Faustus"""
MOVIES,$400 ,"As TV reporter Kimberly Wells, she gave glowing reports in ""The China Syndrome""",Jane Fonda
MOVIES,$500 ,"In ""Father Goose"" he played a beachcomber who secretly spotted enemy planes during WWII",Cary Grant
ANIMALS,$400 ,"The World Wildlife Fund is working with the Chinese on a detailed survey of pandas & this, their only food",bamboo
MOVIES,$200 ,Barbra Streisand plays a psychiatrist in this 1991 film which she also directed & co-produced,"""The Prince of Tides"""
MOVIES,$400 ,Julia Roberts plays a law student on the run in this movie based on a John Grisham novel,"""The Pelican Brief"""
ANIMALS,$100 ,"The fact that this lizard's name is from the Greek for ""ground lion"" never changes",chameleon
ANIMALS,$200 ,"A giraffe's tail, which is about 3 feet long, is used to swat this bloodsucking fly that causes sleeping sickness",tsetse fly
ANIMALS,$300 ,"The suni, a small one of these graceful African mammals, is barely 15 inches high",antelope
ANIMALS,$400 ,"The common type of this marsupial has coarse, thick fur while that of the hairy-nosed is short & silky",wombat
ANIMALS,$200 ,"This bird's whooping call is said to carry 2 miles, & its courtship displays include a leaping dance",whooping crane
HISTORY,$100 ,A potato famine during the 1840s caused this island's population to decline by about 2 million,Ireland
HISTORY,$200 ,The Treaty of Versailles ended this war & set up the League of Nations,World War I
HISTORY,$300 ,Hernando Cortes conquered the Aztecs & Francisco Pizarro conquered this Indian empire,Incan
HISTORY,$400 ,"By the end of his reign in 1786, Frederick the Great doubled this kingdom's area",Prussia
HISTORY,$500 ,In 1977 this Ugandan leader survived at least one assassination attempt & 2 attempted coups,Idi Amin
MUSIC,$200 ,"Bop & bebop, which emerged in the 1940s, are styles of this type of music that debuted decades earlier",jazz
MUSIC,$400 ,"The French name of this 1897 orchestral scherzo is ""L'apprenti sorcier""",The Sorcerer's Apprentice
HISTORY,$400 ,"Stone tools were first used during this period known as the ""Old Stone Age""",Paleolithic
SPORTS,$100 ,In soccer only this player can touch the ball with his hands,Goalkeeper
SPORTS,$200 ,"This Toronto baseball club chose its name from more than 4,000 submitted by fans",Blue Jays
SPORTS,$300 ,"This New Jersey hockey team, Stanley Cup winners in 1995, didn't make the playoffs in 1996",New Jersey Devils
SPORTS,$400 ,"At the 1994 Olympics, this U.S. woman speed skater surpassed Eric Heiden's medal total",Bonnie Blair
SPORTS,$500 ,"This university's Orangemen routed Clemson 41-0 in the Jan. 1, 1996 Gator Bowl",Syracuse
HISTORY,$100 ,Legend says in 1811 & 1812 earthquakes on the Midwest's New Madrid Fault made this river run backwards,Mississippi River
