 Category, Value, Question, Answer
SPORTS,$400 ,"Originally Italian for gondola race, it's a racing meet that might be held on the Thames",a regatta
HISTORY,$200 ,In 1856 France joined Britain in a second Opium War with this country,China
HISTORY,$400 ,"It was seized by Iranian militants on November 4, 1979 & held for over 400 days",the American embassy
SPORTS,$100 ,"The Iron Man Triathlon consists of a 2.4-mile swim, a 112-mile bike race & this 26.2-mile run",Marathon
SPORTS,$200 ,"On August 6, 1994 Jeff Gordon won the Brickyard 400, the first stock car race on this track",Indianapolis Motor Speedway
SPORTS,$300 ,In the 1920s & 1930s Helen Wills Moody was the top-ranked women's player in this sport a record 9 times,Tennis
SPORTS,$400 ,"In 1930 this golfer became the first recipient of the AAU's Sullivan Award, as the year's top male athlete",Bobby Jones
SPORTS,$500 ,This jockey is the only man to ride 2 Triple Crown winners: Whirlaway & Citation,Eddie Arcaro
MUSIC,$200 ,"It means to sing in a soft, intimate style, like Bing Crosby used to do",Croon
MUSIC,$400 ,"The name of this deep voice range is also used to describe a violin, a clef & a tuba",Bass
SPORTS,$200 ,"In this game, an entry sport to baseball, the batter hits the ball that rests atop a tube",T-ball
HISTORY,$200 ,"After years of war, Spain finally recognized this neighbor's independence in 1668",Portugal
HISTORY,$400 ,"From Menes to the Ptolemys, this country had more kings than any other in ancient history",Egypt
ANIMALS,$100 ,"Scooby-Doo, Goofy & Pluto are cartoon versions",dogs
ANIMALS,$200 ,"""Eager"" animal that symbolizes Canada",the beaver
ANIMALS,$300 ,"They include killers, humpbacks & sperms",whales
ANIMALS,$500 ,Tibetan ox used to carry travelers and mail,a yak
SPORTS,$100 ,"On May 22, 1999 this American scored her 108th goal, becoming the all-time leading scorer in int'l soccer",Mia Hamm
SPORTS,$200 ,"This fleet-footed Chicago Bear was named outstanding back in the Pro Bowl 3 times: 1967, 1968 & 1970",Gale Sayers
SPORTS,$300 ,"[Hi, I'm Kareem Abdul-Jabbar]  I won 6 NBA Most Valuable Player Awards during my career: 3 while playing with the Lakers & 3 with this team",Milwaukee Bucks
SPORTS,$400 ,"On Oct. 2, 1968 this Cardinal pitcher struck out 17 Detroit Tigers, a new World Series record",Bob Gibson
SPORTS,$500 ,"The top U.S. male tennis player of the 1970s, he's the only man to win more than 100 singles titles",Jimmy Connors
ANIMALS,$100 ,"An insect related to the housefly, but wingless, is the largest land animal native to this continent",Antarctica
ANIMALS,$200 ,"In buildings, Norway variety of this animal tends to live on lower floors while black kind lives upstairs",rats
ANIMALS,$300 ,"Used in medical research which established Rh factor, their export is now banned by India",rhesus monkeys
ANIMALS,$400 ,The gavial looks very much like a crocodile except for this bodily feature,the nose or snout
ANIMALS,$500 ,"With an estimated weight of over 2 tons, the largest nest on record was built by these birds",bald eagles
SPORTS,$100 ,This former Dodger manager threw out the first pitch in the Dodgers' 1997 opening game,Tommy Lasorda
SPORTS,$200 ,In 1997 this team won its first Stanley Cup in 42 years by completing a 4-game sweep of the Flyers,Detroit Red Wings
SPORTS,$300 ,Only Fran Tarkenton & this Miami Dolphins quarterback have thrown over 300 career touchdown passes,Dan Marino
SPORTS,$400 ,"On July 16, 1995 this American received her certificate of induction into the Int'l Tennis Hall Of Fame",Chris Evert
SPORTS,$500 ,"With 18, this sport's Larissa Latynina has more Olympic medals than any other person",gymnastics
HISTORY,$200 ,"Between 1850 & 1864, the Taiping Rebellion claimed an estimated 20,000,000 lives in this country",China
HISTORY,$400 ,The 1929 Lateran Treaty recognized the inherent sovereignty of this holy state,Vatican City
MUSIC,$400 ,"A score may say ""M.D."" for ""mano destra"" where it's suggested tha a pianist use this, even on low notes",right hand
MOVIES,$400 ,Ed Speleers plays the title farm boy-turned-dragon rider in this 2006 fantasy film,Eragon
HISTORY,$200 ,Disappointment with the Livonian War & suspected treasons in 1582 may have led this czar to order his 1st executions,Ivan the Terrible
ANIMALS,$100 ,"Called the ""King of the Terriers"", its original home was the valley of the river Aire",Airedale
ANIMALS,$200 ,"Like a lot of birds, the monarch butterfly does this in the winter",Migrate
ANIMALS,$300 ,"A camel's hump doesn't contain water, as once was thought, but this, for energy when food is scarce",Fat
ANIMALS,$400 ,"The only female deer with antlers, it uses them to dig in the snow for food",Reindeer
ANIMALS,$500 ,Marine creature whose zoological name is Hippocampus,Seahorse
HISTORY,$200 ,In 1712 this Russian czar moved his capital to St. Petersburg,Peter the Great
HISTORY,$400 ,"When Austria's Francis II abdicated August 6, 1806, this empire perished",Holy Roman Empire
SPORTS,$200 ,"On March 23, 1994 he scored his 802nd NHL goal, breaking Gordie Howe's career record",Wayne Gretzky
SPORTS,$400 ,In 1987 this 31-year-old Swede was inducted into the International Tennis Hall of Fame,Bjorn Borg
SPORTS,$100 ,At the 1988 Olympics the USSR won the gold for team foil in this sport,fencing
SPORTS,$200 ,"The Old Norse ""Skjota"", to shoot, gave us this word for a type of trapshooting",skeet
SPORTS,$300 ,"Among college football coaches, Paul Bryant was nickanmed Bear & G. Warner was nicknamed this","""Pop"""
SPORTS,$400 ,"According to Forbes Magazine, the 3 highest-paid athletes for 1990 compete in this sport",boxing
SPORTS,$500 ,In 1990 this Reds outfielder set a world series record with hits in 7 straight at-bats,Billy Hatcher
SPORTS,$100 ,Bob Hope says one of his favorites is the 16th at Cypress Point in Pebble Beach,a golf hole
SPORTS,$200 ,Spanish sport revived in China in 1986 with opening of a ring in the Zhejiang Province,bullfighting
SPORTS,$300 ,A machine called the Cyclops is now used for line calls in this sport,tennis
SPORTS,$400 ,"Sport in which you might leave a bucket, Christmas tree or picket fence",bowling
SPORTS,$500 ,"Jack Broughton, inventor of the modern boxing glove, is buried in this British landmark",Westminster Abbey
ANIMALS,$200 ,"Rarely seen to die of old age in the wild, it's mistakenly thought they have a secret graveyard",elephants
ANIMALS,$400 ,The biggest marsupials,kangaroos
SPORTS,$100 ,"Downhill is the most popular form of this sport, but many prefer cross-country",Skiing
SPORTS,$200 ,Mike Piazza's new $15 million contract with this L.A. team makes him the highest-paid baseball catcher,Los Angeles Dodgers
SPORTS,$300 ,In 1997 this Greek-American won his second Australian Open title,Pete Sampras
SPORTS,$400 ,In 1997 this commentator & former Bears coach was named head coach of the New Orleans Saints,Mike Ditka
SPORTS,$500 ,This American cyclist who retired in 1994 was the first non-European to win the Tour de France,Greg LeMond
HISTORY,$100 ,"7 years after crossing the Alps, he reached the gates of Rome with his troops in 211 B.C., but didn't get in",Hannibal
HISTORY,$200 ,"In 1533 Pizarro killed Atahualpa, the leader of these people",the Incas
HISTORY,$300 ,Ivan the Great made the great decision to gain independence from this group known as the Golden Horde,the Mongols
HISTORY,$400 ,In 1632 this lord founded the colony of Maryland,Lord Baltimore
HISTORY,$500 ,He succeeded Henry II as king of England in 1189 & was himself succeeded by John in 1199,Richard the Lionhearted
ANIMALS,$100 ,World Book says this type of bear has been seen on ice chunks as far south as the Gulf of St. Lawrence,Polar Bear
ANIMALS,$200 ,The largest freshwater species of this reptile in the U.S. is the alligator snapper,Turtle
ANIMALS,$300 ,The largest species of this American marsupial is the common or Virginia species,Possum
ANIMALS,$400 ,This ground squirrel is distinguished from others by its striped face,Chipmunk
ANIMALS,$500 ,"The largest & heaviest New World monkey, its characteristic roar can be heard for about 2 miles",Howler Monkey
MUSIC,$200 ,"A typical symphony orchestra has 32 of these instruments, but only 1 tuba",violins
MUSIC,$400 ,"An 1846 Berlioz work on ""The Damnation of"" this man goes back to the Goethe tale",Faust
SPORTS,$200 ,"This British sport using a bat & a ball is popular in Jamaica, the Bahamas & Trinidad & Tobago",Cricket
SPORTS,$400 ,Olympic wrestling style in which the wrestlers are forbidden to use their legs,Greco-Roman
ANIMALS,$100 ,The African rain forests are the natural habitat of these largest apes,Gorillas
ANIMALS,$200 ,The red kangaroo is among the largest of these pouched mammals,Marsupials
ANIMALS,$300 ,One of these mammals that inhabits the East Indies has a wingspan of over 5 1/2 feet,Bat
ANIMALS,$400 ,This spiny relative of the starfish is sometimes referred to as a sea hedgehog,Sea Urchin
ANIMALS,$500 ,This largest wild cat of the Americas looks similar to a leopard,Jaguar
SPORTS,$100 ,"On April 13, 1997 this 21-year-old golfer became the youngest to win the Masters",Tiger Woods
SPORTS,$300 ,"Gordie Howe's 1,687 games with this team is the most by a player on one team in the NHL",Detroit Red Wings
SPORTS,$400 ,The Johnny Petraglia Open & the AMF Dick Weber Classic have been major tournaments in this sport,Bowling
SPORTS,$500 ,This winter Olympic sport is contested in 2-man & 4-man events,Bobsled
SPORTS,$200 ,Only team that can score points in volleyball,serving team
SPORTS,$400 ,"Inventor of the boxing glove, English boxer Jack Broughton is commemorated in this regal resting palace",Westminster Abbey
HISTORY,$200 ,In 1791 this future French emperor became a lieutenant colonel in the Corsican National Guard,Napoleon
HISTORY,$400 ,Between the 800s and 1400s the Khmer had a Hindu-Buddhist kingdom with its capital in what is now this country,Cambodia
HISTORY,$100 ,It became a U.S. territory in 1900 & was attacked 18 years before becoming a state,Hawaii
HISTORY,$200 ,From 1954 to 1969 he was president of North Vietnam,Ho Chi Minh
HISTORY,$300 ,"The U.S. arsenal at this Shenandoah Valley location was raided October 16, 1859",Harper's Ferry
HISTORY,$400 ,"Roman emperor, 117-138, he built walls in Germany as well as in Britain",Hadrian
HISTORY,$500 ,Mode of protest used by Emmeline Pankhurst & Mohandas Gandhi while in jail,hunger strike
HISTORY,$200 ,"His second voyage, beginning in 1493, included visits to Jamaica & Puerto Rico",Christopher Columbus
HISTORY,$400 ,"In 1999 China confirmed that this girl really existed & served in China's army 1,300 years ago",Mulan
ANIMALS,$100 ,"Probably the 1st birds tamed, they weren't used as messengers but as meals",pigeons
ANIMALS,$200 ,"If Michael Jackson can't make a personal appearance, he may send Bubbles, one of these",a chimpanzee
ANIMALS,$300 ,The albatross' ritual for this includes preening & dancing; dinner & a movie wasn't listed,a mating ritual
ANIMALS,$500 ,"Of the creatures on Earth that have legs, most of them have this many",6
ANIMALS,$500 ,"The Dandie Dinmont, a dog in this group, was named after a farmer who raised them in ""Guy Mannering""",the terriers
MUSIC,$200 ,"In writing the light opera ""El Capitan"", this ""March King"" wrote a march of the same name",Sousa
MUSIC,$400 ,You hold your lips the same way to play a brass instrument or this exotic shell,a conch
HISTORY,$200 ,"In 47 B.C. he reported to the Romans on his victory at Zela, ""Veni, Vidi, Vici""",Julius Caesar
HISTORY,$400 ,"She was ruler of Russia when it fought 2 wars against the Ottoman Empire, 1768-1774 & 1787-1791",Catherine the Great
HISTORY,$200 ,Membership in this organization reached its height in 1934 with 58 countries,League of Nations
HISTORY,$400 ,In 1969 Georges Pompidou succeeded this man as president of France,Charles De Gaulle
HISTORY,$100 ,"1903's Treaty of Petropolis ""erased"" a South American dispute over an area rich in this plant resource",Rubber
HISTORY,$200 ,In 1931 the invading Japanese made this Chinese area a puppet state called Manchukuo,Manchuria
HISTORY,$300 ,"The limited Irish autonomy proposed by Isaac Butt around 1870 was called this type of ""rule""",Home Rule
HISTORY,$400 ,"Brugge in Flemish, this Belgian city's trade declined with the silting of the Zwyn River in the 1400s",Bruges
HISTORY,$500 ,"In 897 Pope Stephen VI had his predecessor Formosus exhumed, put on trial & thrown into this river",Tiber
MUSIC,$100 ,His 1995 Greatest Hits album features several new tracks with the E Street Band,Bruce Springsteen
MUSIC,$200 ,"It took 30 years & an album called ""Voodoo Lounge"" for this British group to win its first Grammy",The Rolling Stones
MUSIC,$300 ,"Fueled by a PBS special, this ""ET"" co-host's ""Live at Red Rocks"" album reached No. 1 on the New Age chart",John Tesh
MUSIC,$400 ,Marcia! Marcia! Marcia!  In 1995 this actress who played TV's Marcia Brady released a country album,Maureen McCormick
MUSIC,$500 ,"Paul Hewson, better known as Bono, is this group's lead singer",U2
SPORTS,$200 ,His 66 home runs in 1998 helped the Cubs to the playoffs for only the 3rd time in 53 years,Sammy Sosa
SPORTS,$400 ,A little birdie told us an eagle is a score this many under par on a hole,2
HISTORY,$200 ,"In 1963 a ""Hot Line"" emergency link went into effect between Washington, DC & this world city",Moscow
HISTORY,$400 ,"Jean Jacques Dessalines, brought to this island country as a slave, declared its independence in 1804",Haiti
MOVIES,$100 ,"Subtitled ""The Search for Spock""",Star Trek III
MOVIES,$200 ,Title describing Tom Cruise's precarious commercial enterprise,Risky Business
MOVIES,$300 ,Film where Lily Tomlin is really Steve Martin's better half,All of Me
MOVIES,$400 ,Mozart's middle name becomes a movie,Amadeus
MUSIC,$400 ,"In a Billy Joel hit, she's ""looking for a downtown man""",an Uptown Girl
ANIMALS,$100 ,A mosquito's hum is actually the sound made by these,its wings
ANIMALS,$200 ,"Though its name means ""Flemish cowherd"", a bouvier des flandres is a breed of this",dog
ANIMALS,$300 ,The only African bird of prey with terrestrial habits; it can't type or take dictation,the secretary bird
ANIMALS,$400 ,"The number of toes on the foot of a hippopotamus; especially the ones in Disney's ""Fantasia""",four
ANIMALS,$500 ,"Types of this aquatic creature include chimney, sheep's wool, and common bath",the sponge
HISTORY,$200 ,This czarina gave her lover Grigori Potemkin the Tauride Palace in St. Petersburg,Catherine the Great
HISTORY,$400 ,"1 of the 7 ancient wonders, the statue of this Greek god was destroyed by fire c. 475 A.D. in Constantinople",Zeus
HISTORY,$100 ,The storming of this prison in 1789 is one of the most famous events of the French Revolution,Bastille
HISTORY,$200 ,"This German earned the nickname ""The Desert Fox"" while commanding the Afrika Korps in WWII",Erwin Rommel
HISTORY,$300 ,"Even though it's been ""found"", this Peruvian ruin, seen here, is still called ""The Lost City of the Incas""",Machu Picchu
HISTORY,$400 ,"As queen of the Netherlands during WWI, she helped maintain Dutch neutrality",Wilhelmina
HISTORY,$500 ,"This ""Magnificent"" sultan, seen here, was the 10th ruler of the Ottoman Empire",Suleiman
ANIMALS,$100 ,"Sadly, this ""giant"" bearlike mammal of China is on the endangered list",Giant panda
ANIMALS,$200 ,Among the largest flying birds are the California & Andean species of these,Condor
ANIMALS,$300 ,This domesticated pack animal & its relative the alpaca were referred to as Peruvian sheep by the Spanish,Llama
ANIMALS,$400 ,The AKC classifies the miniature schnauzer as a breed within this dog group,Terrier
ANIMALS,$500 ,"Related to corals, this sea creature has been described as ""the best known of the so-called flower animals""",Sea anemone
HISTORY,$100 ,In 1982 this country's president Jose Lopez Portillo devalued the peso & nationalized the banks,Mexico
HISTORY,$200 ,"On July 5, 1945 he announced that ""The entire Philippine Islands are now liberated""",Douglas MacArthur
HISTORY,$300 ,In 1815 the Congress of Vienna guaranteed this country's neutrality,Switzerland
HISTORY,$400 ,"Elizabeth Petrovna, the daughter of this czar, became empress of Russia in 1741",Peter the Great
HISTORY,$500 ,This country formerly known as Dutch Guiana gained independence in 1975,Suriname
SPORTS,$200 ,This school's Cornhuskers won the 1995 college football title by overwhelming Florida in the Fiesta Bowl,Nebraska
SPORTS,$400 ,In 1980 the NHL's Atlanta Flames moved to this Canadian city,Calgary
ANIMALS,$100 ,"The beak of this flightless bird of Antarctica can be black, red, orange or bright purple",penguin
ANIMALS,$200 ,Buckskin was originally made from the mule & white-tailed species of this ungulate,deer
ANIMALS,$300 ,"A species of this insect, Apidae bumbus, ranges from above the Arctic Circle to as far south as Tierra del Fuego",bumblebee
ANIMALS,$400 ,"In a boon to lab research, in 1956 it was found that this ""golden"" rodent could be infected with the common cold",hamster
ANIMALS,$500 ,"This flightless South American bird often associates with guanacos, forming mixed herds",rhea
ANIMALS,$200 ,Muskrats & woodrats belong to this order of mammals,rodents
ANIMALS,$400 ,The Venus's flower basket is one of the most attractive of these porous aquatic creatures,a sponge
SPORTS,$100 ,"This Lakers star won a 1992 Grammy for the best spoken word album:  ""What You Can Do To Avoid AIDS""","Earvin ""Magic"" Johnson"
MUSIC,$100 ,"In a standard-size symphony orchestra, 35 of the 100 or more musicians may play this instrument",Violin
SPORTS,$200 ,"In the 24 seasons he's owned this team, George Steinbrenner has changed managers 20 times",New York Yankees
MUSIC,$200 ,"In the musical styles of this island, reggae came after ska & rock steady, mon",Jamaica
SPORTS,$300 ,"Between 1937 & 1950, this American boxer fought in 27 heavyweight title fights, winning 26",Joe Louis
MUSIC,$300 ,"In America this Italian term for ""master"" is applied only to conductors",Maestro
SPORTS,$400 ,In May 1995 this country's Black Magic yacht beat the Young America to win the America's Cup,New Zealand
MUSIC,$400 ,"In 1922 Ravel orchestrated ""Pictures At An Exhibition"", a suite Mussorgsky wrote for this instrument",Piano
SPORTS,$500 ,The backwards one-revolution jump in this sport is named for Ulrich Salchow,Figure Skating
MUSIC,$500 ,John Dowland was a notable Renaissance composer of pieces for this medieval stringed instrument,Lute
ANIMALS,$100 ,The Tiger Swallowtail & Zebra Swallowtail are species of this insect,Butterfly
ANIMALS,$200 ,These medicinal worms were once used to treat headaches & mental illnesses,Leeches
ANIMALS,$300 ,This rodent in the genus Neotoma is named for its habit of hoarding small objects,Pack rat
ANIMALS,$400 ,"Also called a warrigal, this wild dog is one of the few nonmarsupial mammals of Australia",Dingo
ANIMALS,$500 ,This catlike carnivore of Africa is valued for its musk,Civet
ANIMALS,$200 ,"On the squirrel monkey of South America, this may be 16 inches long",the tail
ANIMALS,$400 ,Animal that was the main staple of the Plains Indians economy,buffalo
HISTORY,$200 ,He became King of Jordan after his mentally ill father was deposed in 1952,King Hussein (I)
HISTORY,$400 ,The only first lady it ever had was a Mississippi aristocrat named Varina,The Confederacy
HISTORY,$200 ,"On Oct. 28, 1492 he landed at Cuba, first calling it Juana in honor of the Spanish rulers' daughter",Christopher Columbus
HISTORY,$400 ,"Tenochtitlan, capital of this empire, was founded in 1325 on an island in what was Lake Texcoco",Aztec
MUSIC,$200 ,"Vaughan Williams' ""Romance"" is for orchestra & this instrument you blow & suck air through",Harmonica
MUSIC,$400 ,"This German composer's ""Flying Dutchman"" took off after he expanded it from 1 act to 3",Richard Wagner
ANIMALS,$400 ,The laughing type of this doglike carnivore is a predator of big game but also scavanges for food,a hyena
ANIMALS,$100 ,It's the common term for the young of a whale as well as a cow,Calf
ANIMALS,$200 ,"Of a wild dog, a rabbit or a bird, what a jackdaw is",Bird
ANIMALS,$300 ,"This civet relative not only kills cobras but mice, rats & poultry as well",Mongoose
ANIMALS,$400 ,"These mollusks, not oysters, are the most common source for freshwater pearls",Mussels
ANIMALS,$500 ,"""Euell"" be glad to know these small apes are the only ones to habitually walk erect",Gibbons
MUSIC,$200 ,"The written notes for all the instruments and voices of a particular work, or Tigers 5  Yankees 3",Score
MUSIC,$400 ,"A concertino is a short concerto, and a concertina is a simple one of these instruments",Accordion
MOVIES,$100 ,"Composer profiled in ""Song Without End"" and ""Lisztomania""",Franz Liszt
MOVIES,$200 ,"In his first screen role since 1939, he won the 1975 Best Supporting Actor Oscar for ""The Sunshine Boys""",George Burns
MOVIES,$300 ,Director Norman Jewison's alliterative tale of a black infantry unit,A Soldier's Story
MOVIES,$400 ,"David Carradine was ""Bound for Glory"" playing this great folk singer",Woody Guthrie
MOVIES,$500 ,"For this Kipling story, John Huston first thought of Gable and Bogart, not Michael Caine and Sean Connery",The Man Who Would Be King
ANIMALS,$100 ,"The crab-eating one of these masked animals eats fish, fruit & frogs, too",raccoons
ANIMALS,$200 ,"Found in this state's Keys, the Key Deer is only about 2 1/2 feet tall",Florida
ANIMALS,$300 ,"Mason, miner & killer are 3 types of these insects",bees
ANIMALS,$400 ,The adjective feliform describes anything that resembles one of these animals,cat
ANIMALS,$500 ,Koalas & kangaroos belong to this order of mammals known for poorly developed young,marsupials
HISTORY,$200 ,Historic ones of these occurred on St. Bartholomew's Day in 1572 & St. Valentine's Day in 1929,massacres
HISTORY,$400 ,The officer who led the mutiny on the Bounty,Fletcher Christian
HISTORY,$200 ,"After James I granted Derry, Ireland to the citizens of London, it became known as this",Londonderry
HISTORY,$400 ,"Marino Faliero, who was the doge of this, led a plot to kill the nobles & was executed in 1355",Venice
SPORTS,$100 ,"On September 19, 1992 Sergei Bubka broke the world record in this event   for the 32nd time",the pole vault
SPORTS,$200 ,"Known as the ""Golden Bear"", he was the 1st golfer to win all 4 major titles at least twice",Jack Nicklaus
SPORTS,$300 ,Greco-Roman & freestyle are the 2 styles featured in this Olympic sport,wrestling
SPORTS,$400 ,In 1975 this college football bowl game moved from Tulane Stadium to the Louisiana Superdome,the Sugar Bowl
SPORTS,$500 ,It's the only NBA team in Ohio,the Cleveland Cavaliers
MUSIC,$200 ,"He wrote ""Rhapsody In Blue"" for jazz conductor Paul Whiteman's orchestra",George Gershwin
MUSIC,$400 ,The D'Oyly Carte Opera Company was founded to perform the works of this British duo,Gilbert & Sullivan
HISTORY,$200 ,These ancient people referred to themselves as Hellenes,Greeks
HISTORY,$400 ,"During the third of these military expeditions, the Palestinian ports of Acre & Jaffa were captured, but not Jerusalem",Crusades
